Top level Menu Item;Sub Menu Item;Section / Tab;Feature;Sub Feature;Supported by MS Excel (Y/N);"Common
XSLT
(Y/N)";"Implemented
(Y/N)";Milestone;Milestone Features;Comments;Developer
Format;Cells..;Background;;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Cells..;Protection;Hide all;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Cells..;Protection;Hide (When Print);;Y;N;N;M2;Text & Paragraph formatting;;
Format;Row;Height..;;;Y;N;Y;M1;Basic and Advanced Table Model;;tomek_mueller - Direct
Format;Row;Optimal Height;;;Y;N;N;M1;Basic and Advanced Table Model;not supported in excel;
Format;Row;Hide;;;Y;N;Y;M1;Basic and Advanced Table Model;;tomek_mueller - Direct
Format;Row;Show;;;Y;N;Y;M1;Basic and Advanced Table Model;;tomek_mueller - Direct
Format;Column;Width;;;Y;N;Y;M1;Basic and Advanced Table Model;;tomek_mueller - Direct
Format;Column;Optimal Width;;;Y;N;N;M1;Basic and Advanced Table Model;not supported in excel;
Format;Column;Hide;;;Y;N;Y;M1;Basic and Advanced Table Model;;tomek_mueller - Direct
Format;Column;Show;;;Y;N;Y;M1;Basic and Advanced Table Model;;tomek_mueller - Direct
Format;Sheet;Rename..;;;Y;N;Y;M1;Document structure;;
Format;Sheet;Hide;;;Y;N;Y;M1;Document structure;;
Format;Sheet;Show;;;Y;N;Y;M1;Document structure;;
Format;Sheet;Right - Left;;;Y;N;N;M1;Document structure;;
Format;Merge Cells;;;;Y;N;N;M1;Basic and Advanced Table Model;;
Format;Page;;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Organizer;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Page;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Borders;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Background;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Header;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Footer;;;Y;N;N;M2;Page Styles and Layout;;
Format;Page;Sheet;;;Y;N;N;M2;Page Styles and Layout;;
Format;Character;Font;Font;;Y;N;N;M1;Basic Text and Paragraph Formatting;;
Format;Character;Font;type face;;Y;N;N;M1;Basic Text and Paragraph Formatting;;
Format;Character;Font;size;;Y;N;N;M1;Basic Text and Paragraph Formatting;;
Format;Character;Font;Language;;Y;N;N;M1;Basic Text and Paragraph Formatting;;
Format;Character;Font Effects;Underlining;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Font Effects;Color;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Font Effects;Strike through;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Font Effects;Font Color;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Font Effects;Relief;Outline;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Font Effects;Relief;Shadow;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Position;Superscript;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Position;Superscript;Raise/Lower By;N;-;-;-;;;
Format;Character;Position;Normal;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Position;subscript;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Character;Scaling;Scale width;;N;-;-;-;;;
Format;Character;Spacing;Scale width;;N;-;-;-;;;
Format;Styles and Formating;Cell Styles;;;Y;N;N;M2;Styles and Default styles;;
Format;Conditional Formatting;Condition1;;;Y;N;N;M2;Conditional Formatting;;
Format;Conditional Formatting;Condition2;;;Y;N;N;M2;Conditional Formatting;;
Format;Conditional Formatting;Condition3;;;Y;N;N;M2;Conditional Formatting;;
Format;Group;Group;;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Group;Ungroup;;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Group;Entire Group;;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Group;Exit Group;;;Y;N;N;M2;Text & Paragraph formatting;;
Format;Control;;;;Y;N;N;-;;not implemented for Word V1.0.;
Format;Form;;;;Y;N;N;-;;not implemented for Word V1.0.;
Tools;Spell Check;;;;Y;N;;-;;Application-level feature;
Tools;Language;;;;Y;N;;M2;Language Settings;;
Tools;Detective;Trace Precedents;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Remove Precedents;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Trace Dependents;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Remove Dependents;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Remove All Traces;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Trace Error;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Mark Invalid Data;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Refresh Traces;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Auto Refresh;;;Y;N;N;-;; Application-level feature in Excel;
Tools;Detective;Fill Mode;;;N;N;N;-;;;
Tools;Goal Seek;Default Settings;Formulae Cell;;Y;N;N;-;;Application-level feature;
Tools;Goal Seek;Default Settings;Target Value;;Y;N;N;-;;Application-level feature;
Tools;Goal Seek;Default Settings;Variable Cell;;Y;N;N;-;;Application-level feature;
Tools;Scenario;Name of Scenario;;;Y;N;N;M4;Advanced Tables (Scenario Tables);"Excel: See ""What-if-Analysis""";
Tools;Scenario;Comment;;;Y;N;N;M4;Advanced Tables (Scenario Tables);"Excel: See ""What-if-Analysis""";
Tools;Scenario;Settings;Display border;;Y;N;N;M4;Advanced Tables (Scenario Tables);"Excel: See ""What-if-Analysis""";
Tools;Scenario;Settings;Copy Back;;Y;N;N;M4;Advanced Tables (Scenario Tables);"Excel: See ""What-if-Analysis""";
Tools;Scenario;Settings;Copy entire sheet;;Y;N;N;M4;Advanced Tables (Scenario Tables);"Excel: See ""What-if-Analysis""";
Tools;Scenario;Settings;Prevent Changes;;Y;N;N;M4;Advanced Tables (Scenario Tables);"Excel: See ""What-if-Analysis""";
Tools;Protect Sheet;Password;;;Y;N;N;-;;v 1.1;
Tools;Protect Sheet;Confirm Password;;;Y;N;N;-;;v 1.1;
Tools;Protect Document;Password;;;Y;N;N;-;;v 1.1;
Tools;Protect Document;Confirm Password;;;Y;N;N;-;;v 1.1;
Tools;Cell Contents;Recalculate ;;;Y;N;N;-;;Application-level feature;
Tools;Cell Contents;Auto Calculate;;;Y;N;N;M4;;;
Tools;Cell Contents;Auto input;;;Y;N;N;-;;Application-level feature;
Tools;Gallery;;;;Y;-;-;-;;Application-level feature;
Tools;Media Player;;;;N;-;-;-;;Application-level feature;
Tools;Macro;Record Macro;;;Y;N;N;-;;v 1.1;
Tools;Macro;Run Macro;Library ;;Y;N;N;-;;v 1.1;
Tools;Macro;Run Macro;Macro Name;;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Macro;Open Office.org Basic Macros;Macro Name;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Macro;Open Office.org Basic Macros;Macro From;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Macro;Open Office.org Basic Macros;Existing Macros;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Dialogues;Modules;Modules;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Dialogues;Dialogues;Dialogues;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Dialogues;Libraries;Location;Y;N;N;-;;v 1.1;
Tools;Macro;Organize Dialogues;Libraries;Library;Y;N;N;-;;v 1.1;
Tools;Package Manager;Browse Packages;;;Y;-;-;-;;Application-level feature;
Tools;Package Manager;Add..;;;Y;-;-;-;;Application-level feature;
Tools;Xml filter settings;;;;Y;-;-;-;;Application-level feature;
Tools;customize..;Menus..;Menu;;Y;-;-;-;;Application-level feature;
Tools;customize..;Menus..;Menu Content;;Y;-;-;-;;Application-level feature;
Tools;customize..;Menus..;Save in;;Y;-;-;-;;Application-level feature;
Tools;customize..;Menus..;Description;;Y;-;-;-;;Application-level feature;
Tools;customize..;Key board;Shortcut keys;;Y;-;-;-;;Application-level feature;
Tools;customize..;Key board;Functions;;Y;-;-;-;;Application-level feature;
Tools;customize..;Tool Bar;Tool bar;;Y;-;-;-;;Application-level feature;
Tools;customize..;Tool Bar;Toolbar content;;Y;-;-;-;;Application-level feature;
Tools;customize..;Tool Bar;Save in;;Y;-;-;-;;Application-level feature;
Tools;customize..;Events;Save in;;Y;-;-;-;;Application-level feature;
Tools;customize..;Events;Assign Macro;;Y;-;-;-;;Application-level feature;
Tools;customize..;Events;Remove Macro;;Y;-;-;-;;Application-level feature;
Tools;Options..;Open Office.Org;;;Y;-;-;-;;Application-level feature;
Tools;Options..;Load Save;;;Y;-;-;-;;Application-level feature;
Tools;Options..;Language Settings;;;Y;-;-;-;;Application-level feature;
Tools;Options..;Open OfficeOrg.Calc;;;Y;-;-;-;;Application-level feature;
Tools;Options..;OpenOfficeOrg.Base;;;Y;-;-;-;;Application-level feature;
Tools;Options..;Charts;;;Y;-;-;-;;Application-level feature;
Tools;Options..;Internet;;;Y;-;-;-;;Application-level feature;
Data;Define Range;Name;;;N;-;-;-;;This relates to database ranges (implicit in Excel);
Data;Define Range;Range;;;N;-;-;-;;This relates to database ranges (implicit in Excel);
Data;Select Range ;Ranges;;;N;-;-;-;;This relates to database ranges (implicit in Excel);
Data;Sort;Sort by;Ascending;;Y;N;N;M3;Sort;;
Data;Sort;Sort by;Descending;;Y;N;N;M3;Sort;;
Data;Sort;Then by;Ascending;;Y;N;N;M3;Sort;;
Data;Sort;Then by;Descending;;Y;N;N;M3;Sort;;
Data;Sort;Then by;Ascending;;Y;N;N;M3;Sort;;
Data;Sort;Then by;Descending;;Y;N;N;M3;Sort;;
Data;Sort;Options;Case Sensitive;;Y;N;N;M3;Sort;;
Data;Sort;Options;Range Contains Col. Names;;Y;N;N;M3;Sort;;
Data;Sort;Options;Include Formats;;Y;N;N;M3;Sort;;
Data;Sort;Options;Copy sort  results to;;N;-;-;M3;Sort;;
Data;Sort;Options;Custom sort order;;Y;N;N;M3;Sort;;
Data;Sort;Options;Language;;N;-;-;M3;Sort;;
Data;Sort;Options;Direction;;Y;N;N;M3;Sort;;
Data;Sort;Options;Data Area;;Y;-;-;M3;Sort;Implicit in Excel;
Data;Filter;Auto filter;;;Y;N;N;M3;Filters;;
Data;Filter;Standard Filter..;;;Y;N;N;M3;Filters;;
Data;Filter;Advanced Filter..;;;Y;N;N;M3;Filters;;
Data;Filter;Remove Filter;;;Y;N;N;M3;Filters;;
Data;Filter;Hide Auto filter;;;Y;N;N;M3;Filters;;
Data;Subtotals;1st group;Group by;;Y;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;1st group;Calculate Sub totals for;;Y;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;1st group;Use function;;Y;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;2nd group;Group by;;N;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;2nd group;Calculate Sub totals for;;N;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;2nd group;Use function;;N;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;3rd group;Group by;;N;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;3rd group;Calculate Sub totals for;;N;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;3rd group;Use function;;N;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;Options;Groups;;Y;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Subtotals;Options;Sort;;Y;-;-;-;Data Subtotals;Application-level feature (in Excel);
Data;Validity;Criteria;Allow;;Y;N;N;M3;Data Validation;;
Data;Validity;Criteria;Data;;Y;N;N;M3;Data Validation;;
Data;Validity;Criteria;Value;;Y;N;N;M3;Data Validation;;
Data;Validity;Input help;Show input help when cell is selected;;Y;N;N;M3;Data Validation;;
Data;Validity;Input help;contents;;Y;N;N;M3;Data Validation;;
Data;Validity;Error Alert;Show Error message;;Y;N;N;M3;Data Validation;;
Data;Validity;Error Alert;Contents;;Y;N;N;M3;Data Validation;;
Data;Consolidate;Function;;;Y;-;-;M3;Data Consolidation;;
Data;Consolidate;Consolidation Ranges;;;Y;-;-;M3;Data Consolidation;;
Data;Consolidate;Source Data Range;;;Y;-;-;M3;Data Consolidation;;
Data;Consolidate;Copy Results to;;;N;-;-;-;;;
Data;Outline;Hide Details;;;Y;N;N;M3;Data Grouping;;
Data;Outline;Show Details;;;Y;N;N;M3;Data Grouping;;
Data;Outline;Group;;;Y;N;N;M3;Data Grouping;;
Data;Outline;Ungroup;;;Y;N;N;M3;Data Grouping;;
Data;Outline;Auto Outline ;;;Y;N;N;M3;Data Grouping;;
Data;Outline;Remove;;;Y;N;N;M3;Data Grouping;;
Data;Data Pilot;Start;Current Selection;;Y;N;N;M4;Data Pilot Tables;;
Data;Data Pilot;Start;Data Source ;;Y;N;N;M4;Data Pilot Tables;;
Data;Data Pilot;Start;External Source/Interface…;;Y;N;N;M4;Data Pilot Tables;;
Data;Data Pilot;Refresh;;;Y;-;-;-;;Application-level feature;
Data;Data Pilot;Delete;;;N;-;-;-;;Application-level feature;
Drawing;TextBox;;;;Y;Y;N;M2;Text boxes;;
